Eff_Avg,Eff_Tot,FGA_Avg,FGM_Avg,FGA_Tot,FGM_Tot,FG%,2PA_Avg,2PM_Avg,2PA_Tot,2PM_Tot,2P%,3PA_Avg,3PM_Avg,3PA_Tot,3PM_Tot,3P%,FTA_Avg,FTM_Avg,FTA_Tot,FTM_Tot,FT%,AST_Avg,AST_Tot,TO_Avg,TO_Tot,STL_Avg,STL_Tot,BLK_Avg,BLK_Tot,PFD_Avg,PFD_Tot,Pts_Avg,Pts_Tot,ORB_Avg,DRB_Avg,ORB_Tot,DRB_Tot,TRB_Avg,TRB_Tot,Games,Age,Player,Shot_Usage,Usage_Share,TS%,eFG%,%Pts_2P,%Pts_3P,%Pts_FT,2Pr,3Pr,FTr,ASS_TO_Ratio,AST_Share,ORBr,PFDr
4.0,4.0,2.0,1.0,2.0,1.0,50.0,2.0,1.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,50.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,4.0,1.0,3.0,1.0,3.0,4.0,4.0,1,26,Batas Nemanja,6.8,0.0,53.19,50.0,50.0,0.0,50.0,100.0,0.0,200.0,0.7,0.64,0.49,150.0
6.0,6.0,5.0,2.0,5.0,2.0,40.0,3.0,2.0,3.0,2.0,66.7,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,5.0,3.0,5.0,8.0,8.0,1,32,Breka Mirko,7.0,0.0,40.0,40.0,100.0,0.0,0.0,60.0,40.0,0.0,0.5,0.32,1.46,0.0
3.3,30.0,4.1,1.0,37.0,9.0,24.3,2.1,0.7,19.0,6.0,31.6,2.0,0.3,18.0,3.0,16.7,1.0,0.3,9.0,3.0,33.3,2.0,18.0,0.9,8.0,0.3,3.0,0.0,0.0,1.2,11.0,2.7,24.0,0.7,2.1,6.0,19.0,2.8,25.0,9,26,Covic Milan,49.0,0.03,29.3,28.38,50.0,37.5,12.5,51.4,48.6,24.3,2.2,5.79,2.93,29.73
14.0,182.0,11.7,5.0,152.0,65.0,42.8,7.8,3.5,102.0,45.0,44.1,3.8,1.5,50.0,20.0,40.0,1.5,1.2,19.0,15.0,78.9,3.0,39.0,1.7,22.0,2.0,26.0,0.1,1.0,2.4,31.0,12.7,165.0,0.4,4.3,5.0,56.0,4.7,61.0,13,32,Despotović Nemanja,182.4,0.12,51.45,49.34,54.5,36.4,9.1,67.1,32.9,12.5,1.8,12.54,2.44,20.39
19.3,135.0,12.0,6.4,84.0,45.0,53.6,8.1,5.1,57.0,36.0,63.2,3.9,1.3,27.0,9.0,33.3,2.9,2.0,20.0,14.0,70.0,3.0,21.0,1.7,12.0,0.7,5.0,0.0,0.0,3.4,24.0,16.1,113.0,0.7,4.9,5.0,34.0,5.6,39.0,7,31,Dunđerović Miloš,104.8,0.07,60.88,58.93,63.7,23.9,12.4,67.9,32.1,23.8,1.8,6.75,2.44,28.57
14.0,224.0,8.7,3.6,139.0,58.0,41.7,7.3,3.6,116.0,57.0,49.1,1.4,0.1,23.0,1.0,4.3,2.1,1.3,34.0,21.0,61.8,1.3,21.0,1.5,24.0,2.0,32.0,0.2,3.0,2.4,38.0,8.6,138.0,3.2,5.6,51.0,90.0,8.8,141.0,16,33,Đukić Nikola,178.0,0.11,44.82,42.09,82.6,2.2,15.2,83.5,16.5,24.5,0.9,6.75,24.88,27.34
14.0,14.0,12.0,5.0,12.0,5.0,41.7,12.0,5.0,12.0,5.0,41.7,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,100.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,12.0,12.0,3.0,5.0,3.0,5.0,8.0,8.0,1,32,Eraković Jovan,13.9,0.01,46.58,41.67,83.3,0.0,16.7,100.0,0.0,16.7,1.0,0.32,1.46,16.67
8.9,169.0,7.1,3.0,134.0,57.0,42.5,4.5,2.3,86.0,44.0,51.2,2.5,0.7,48.0,13.0,27.1,1.8,1.3,35.0,24.0,68.6,2.4,46.0,1.1,20.0,1.0,19.0,0.0,0.0,2.2,41.0,7.9,151.0,0.6,3.1,12.0,59.0,3.7,71.0,19,30,Jakovljević Marko,169.4,0.11,50.54,47.39,58.3,25.8,15.9,64.2,35.8,26.1,2.3,14.79,5.85,30.6
1.5,20.0,2.8,0.8,37.0,10.0,27.0,0.9,0.4,12.0,5.0,41.7,1.9,0.4,25.0,5.0,20.0,0.5,0.2,6.0,2.0,33.3,0.6,8.0,0.5,6.0,0.6,8.0,0.2,2.0,0.5,6.0,2.1,27.0,0.5,1.9,6.0,25.0,2.4,31.0,13,31,Jevtić Uroš,45.6,0.03,34.06,33.78,37.0,55.6,7.4,32.4,67.6,16.2,1.3,2.57,2.93,16.22
10.1,152.0,8.5,3.1,128.0,46.0,35.9,4.2,2.4,63.0,36.0,57.1,4.3,0.7,65.0,10.0,15.4,2.9,1.3,44.0,20.0,45.5,1.7,26.0,0.8,12.0,0.9,13.0,0.3,4.0,3.7,55.0,8.1,122.0,0.9,4.5,13.0,67.0,5.3,80.0,15,28,Jovančević Uroš,159.4,0.1,41.4,39.84,59.0,24.6,16.4,49.2,50.8,34.4,2.2,8.36,6.34,42.97
5.0,65.0,8.8,2.6,114.0,34.0,29.8,3.3,1.3,43.0,17.0,39.5,5.5,1.3,71.0,17.0,23.9,1.0,0.8,13.0,11.0,84.6,1.6,21.0,0.7,9.0,1.3,17.0,0.0,0.0,2.1,27.0,7.4,96.0,0.8,2.0,11.0,26.0,2.8,37.0,13,28,Mitrović Vuk,128.7,0.08,40.09,37.28,35.4,53.1,11.5,37.7,62.3,11.4,2.3,6.75,5.37,23.68
6.1,61.0,4.0,1.3,40.0,13.0,32.5,1.8,0.7,18.0,7.0,38.9,2.2,0.6,22.0,6.0,27.3,1.8,0.4,18.0,4.0,22.2,2.2,22.0,1.0,10.0,0.8,8.0,0.1,1.0,1.9,19.0,3.6,36.0,0.9,3.8,9.0,38.0,4.7,47.0,10,34,Radojičić Viktor,57.9,0.04,37.56,40.0,38.9,50.0,11.1,45.0,55.0,45.0,2.2,7.07,4.39,47.5
9.5,143.0,10.4,3.8,156.0,57.0,36.5,1.3,0.8,19.0,12.0,63.2,9.1,3.0,137.0,45.0,32.8,0.5,0.3,7.0,4.0,57.1,1.5,22.0,0.9,14.0,1.0,15.0,0.1,2.0,0.6,9.0,10.9,163.0,1.3,3.5,19.0,52.0,4.7,71.0,15,31,Radovanović Aleksandar,173.1,0.11,51.23,50.96,14.7,82.8,2.5,12.2,87.8,4.5,1.6,7.07,9.27,5.77
4.8,24.0,5.0,1.6,25.0,8.0,32.0,1.2,0.8,6.0,4.0,66.7,3.8,0.8,19.0,4.0,21.1,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.6,3.0,1.4,7.0,0.2,1.0,1.0,5.0,4.0,20.0,1.2,2.2,6.0,11.0,3.4,17.0,5,27,Stanišić Aleksa,28.0,0.02,40.0,40.0,40.0,60.0,0.0,24.0,76.0,0.0,1.7,1.61,2.93,20.0
7.1,107.0,5.4,2.5,81.0,37.0,45.7,5.1,2.5,76.0,37.0,48.7,0.3,0.0,5.0,0.0,0.0,3.2,1.0,48.0,15.0,31.3,1.3,20.0,1.7,25.0,0.3,4.0,0.2,3.0,2.4,36.0,5.9,89.0,2.5,3.5,37.0,52.0,5.9,89.0,15,33,Stefanović Nikola,127.1,0.08,43.58,45.68,83.1,0.0,16.9,93.8,6.2,59.3,0.8,6.43,18.05,44.44
11.7,70.0,10.0,3.8,60.0,23.0,38.3,3.7,1.3,22.0,8.0,36.4,6.3,2.5,38.0,15.0,39.5,0.5,0.5,3.0,3.0,100.0,4.2,25.0,0.8,5.0,0.8,5.0,0.2,1.0,1.2,7.0,10.7,64.0,0.8,3.2,5.0,19.0,4.0,24.0,6,29,Stojanović Mihajlo,66.3,0.04,52.19,50.83,25.0,70.3,4.7,36.7,63.3,5.0,5.0,8.04,2.44,11.67
13.0,78.0,9.7,4.8,58.0,29.0,50.0,9.5,4.8,57.0,29.0,50.9,0.2,0.0,1.0,0.0,0.0,3.3,1.0,20.0,6.0,30.0,2.2,13.0,0.7,4.0,1.0,6.0,0.0,0.0,3.3,20.0,10.7,64.0,2.2,3.5,13.0,21.0,5.7,34.0,6,26,Zec Nemanja,70.8,0.05,47.9,50.0,90.6,0.0,9.4,98.3,1.7,34.5,3.2,4.18,6.34,34.48
