Team,Points,Wins,Losses,Scored,Allowed,Games,Points_Diff,Pts_Scored_Avg,Pts_Allowed_Avg,Abbr,FGA_Avg,FGM_Avg,FGA_Tot,FGM_Tot,2PA_Avg,2PM_Avg,2PA_Tot,2PM_Tot,3PA_Avg,3PM_Avg,3PA_Tot,3PM_Tot,FTA_Avg,FTM_Avg,FTA_Tot,FTM_Tot,ORB_Avg,DRB_Avg,ORB_Tot,DRB_Tot,AST_Avg,AST_Tot,TO_Avg,TO_Tot,STL_Avg,STL_Tot,BLK_Avg,BLK_Tot,PFD_Avg,PFD_Tot,FG%,2P%,3P%,FT%,%Pts_2P,%Pts_3P,%Pts_FT,2Pr,3Pr,FTr,TRB_Tot,TRB_Avg,ASS_TO_Ratio,eFG%,TS%,ORB%,DRB%,POSS_Tot,Off_Rating,Def_Rating,TO%,Net_Rating,Pace,AST_Rate,STL_Rate,BLK_Rate,PFD_Rate,Win%,Pts_Diff_Avg,Shot_Usage
KK Šljakeri,19,9,1,599,489,10,110,59.9,48.9,KKŠ,59.7,23.1,597.0,231.0,33.6,17.4,336.0,174.0,26.1,5.7,261.0,57.0,16.6,8.0,166.0,80.0,12.3,25.3,123.0,253.0,10.9,109.0,12.9,129.0,10.1,101.0,2.9,29.0,18.3,183.0,38.7,51.8,21.8,48.2,58.1,28.5,13.4,56.3,43.7,27.8,376.0,37.6,0.8,43.47,44.7,31.69,71.31,676.0,88.6,72.3,19.08,16.3,67.6,47.2,14.94,4.29,27.07,90.0,11.0,799.0
Belgrade Bulls,17,8,1,603,470,9,133,67.0,52.2,BEL,61.0,26.0,549.0,234.0,33.2,17.2,299.0,155.0,27.8,8.8,250.0,79.0,13.0,6.2,117.0,56.0,8.2,28.3,74.0,255.0,16.1,145.0,9.3,84.0,7.9,71.0,1.0,9.0,16.4,148.0,42.6,51.8,31.6,47.9,51.4,39.3,9.3,54.5,45.5,21.3,329.0,36.6,1.7,49.82,50.21,23.67,73.57,610.5,98.8,77.0,13.76,21.8,67.8,62.0,11.63,1.47,24.24,88.9,14.8,684.5
KK Savski,16,6,4,620,586,10,34,62.0,58.6,SAV,60.8,23.2,608.0,232.0,36.1,18.3,361.0,183.0,24.7,4.9,247.0,49.0,20.0,10.7,200.0,107.0,10.4,24.2,104.0,242.0,11.2,112.0,9.4,94.0,9.2,92.0,1.3,13.0,17.2,172.0,38.2,50.7,19.8,53.5,59.0,23.7,17.3,59.4,40.6,32.9,346.0,34.6,1.2,42.19,44.54,28.17,70.4,686.0,90.4,85.4,13.7,5.0,68.6,48.3,13.41,1.9,25.07,60.0,3.4,790.0
Ravens Belgrade,15,6,3,511,438,9,73,56.8,48.7,RVB,59.7,21.2,537.0,191.0,35.4,15.4,319.0,139.0,24.2,5.8,218.0,52.0,15.7,8.6,141.0,77.0,12.7,31.0,114.0,279.0,9.3,84.0,15.4,139.0,7.2,65.0,1.6,14.0,17.4,157.0,35.6,43.6,23.9,54.6,54.4,30.5,15.1,59.4,40.6,26.3,393.0,43.7,0.6,40.41,42.65,32.32,75.29,624.0,81.9,70.2,22.28,11.7,69.3,44.0,10.42,2.24,25.16,66.7,8.1,738.0
Dva Telefona,14,6,2,565,481,8,84,70.6,60.1,DVA,63.8,28.4,510.0,227.0,42.6,22.5,341.0,180.0,21.1,5.9,169.0,47.0,13.0,8.0,104.0,64.0,9.6,30.9,77.0,247.0,16.8,134.0,10.4,83.0,8.4,67.0,3.1,25.0,16.0,128.0,44.5,52.8,27.8,61.5,63.7,25.0,11.3,66.9,33.1,20.4,324.0,40.5,1.6,49.12,50.83,26.63,75.21,561.8,100.6,85.6,14.77,15.0,70.2,59.0,11.93,4.45,22.78,75.0,10.5,638.8
Pistacci,14,5,4,631,553,9,78,70.1,61.4,PST,64.3,27.8,579.0,250.0,34.0,21.1,306.0,190.0,30.3,6.7,273.0,60.0,14.4,7.9,130.0,71.0,10.7,30.9,96.0,278.0,16.6,149.0,12.8,115.0,5.7,51.0,2.7,24.0,16.0,144.0,43.2,62.1,22.0,54.6,60.2,28.5,11.3,52.8,47.2,22.5,374.0,41.6,1.3,48.36,49.59,28.68,75.22,655.2,96.3,84.4,17.55,11.9,72.8,59.6,7.78,3.66,21.98,55.6,8.7,751.2
Fireflies,14,5,4,574,550,9,24,63.8,61.1,FRS,64.4,24.9,580.0,224.0,37.7,17.7,339.0,159.0,26.8,7.2,241.0,65.0,12.8,6.8,115.0,61.0,11.3,28.1,102.0,253.0,12.4,112.0,13.0,117.0,7.4,67.0,1.7,15.0,15.2,137.0,38.6,46.9,27.0,53.0,55.4,34.0,10.6,58.4,41.6,19.8,355.0,39.4,1.0,44.22,45.51,29.94,73.42,645.6,88.9,85.2,18.12,3.7,71.7,50.0,10.38,2.32,21.22,55.6,2.7,747.6
Phantom Troupe,11,3,5,477,530,8,-53,59.6,66.2,PHT,61.8,21.1,494.0,169.0,35.3,14.9,282.0,119.0,26.5,6.3,212.0,50.0,17.4,11.1,139.0,89.0,10.5,26.6,84.0,213.0,10.1,81.0,11.9,95.0,5.6,45.0,1.5,12.0,15.8,126.0,34.2,42.2,23.6,64.0,49.9,31.4,18.7,57.1,42.9,28.1,297.0,37.1,0.9,39.27,42.96,28.36,72.35,566.2,84.2,93.6,16.78,-9.4,70.8,47.9,7.95,2.12,22.25,37.5,-6.6,650.2
KK Tufe,11,3,5,511,513,8,-2,63.9,64.1,TUF,62.9,24.4,503.0,195.0,37.5,19.4,300.0,155.0,25.4,5.0,203.0,40.0,17.5,10.1,140.0,81.0,10.5,24.3,84.0,194.0,11.3,90.0,12.3,98.0,8.5,68.0,2.9,23.0,18.4,147.0,38.8,51.7,19.7,57.9,60.7,23.5,15.9,59.6,40.4,27.8,278.0,34.8,0.9,42.74,45.25,28.36,70.44,578.6,88.3,88.7,16.94,-0.4,72.3,46.2,11.75,3.98,25.41,37.5,-0.2,662.6
KK Tap 011,8,0,8,364,508,8,-144,45.5,63.5,KT0,50.5,16.1,404.0,129.0,31.1,12.3,249.0,98.0,19.4,3.9,155.0,31.0,15.9,9.4,127.0,75.0,6.8,20.8,54.0,166.0,6.9,55.0,13.0,104.0,7.3,58.0,0.8,6.0,14.1,113.0,31.9,39.4,20.0,59.1,53.8,25.5,20.6,61.6,38.4,31.4,220.0,27.5,0.5,35.77,39.58,20.29,67.09,509.9,71.4,99.6,20.4,-28.2,63.7,42.6,11.37,1.18,22.16,0.0,-18.0,563.9
Koza Nostra,7,0,7,399,522,7,-123,57.0,74.6,KOZ,60.7,22.3,425.0,156.0,34.7,15.6,243.0,109.0,26.0,6.7,182.0,47.0,11.6,5.7,81.0,40.0,9.3,23.6,65.0,165.0,11.3,79.0,14.9,104.0,8.1,57.0,0.9,6.0,12.0,84.0,36.7,44.9,25.8,49.4,54.6,35.3,10.0,57.2,42.8,19.1,230.0,32.9,0.8,42.24,43.31,25.93,69.85,499.6,79.9,104.5,20.82,-24.6,71.4,50.6,11.41,1.2,16.81,0.0,-17.6,564.6
KK Bricklayers,7,0,7,306,520,7,-214,43.7,74.3,BRC,62.9,16.9,440.0,118.0,32.4,11.4,227.0,80.0,30.4,5.4,213.0,38.0,8.9,4.6,62.0,32.0,8.7,22.9,61.0,160.0,10.3,72.0,14.4,101.0,6.1,43.0,1.7,12.0,10.7,75.0,26.8,35.2,17.8,51.6,52.3,37.3,10.5,51.6,48.4,14.1,221.0,31.6,0.7,31.14,32.74,24.73,69.19,507.3,60.3,102.5,19.91,-42.2,72.5,61.0,8.48,2.37,14.78,0.0,-30.6,568.3
