Eff_Avg,Eff_Tot,FGA_Avg,FGM_Avg,FGA_Tot,FGM_Tot,FG%,2PA_Avg,2PM_Avg,2PA_Tot,2PM_Tot,2P%,3PA_Avg,3PM_Avg,3PA_Tot,3PM_Tot,3P%,FTA_Avg,FTM_Avg,FTA_Tot,FTM_Tot,FT%,AST_Avg,AST_Tot,TO_Avg,TO_Tot,STL_Avg,STL_Tot,BLK_Avg,BLK_Tot,PFD_Avg,PFD_Tot,Pts_Avg,Pts_Tot,ORB_Avg,DRB_Avg,ORB_Tot,DRB_Tot,TRB_Avg,TRB_Tot,Games,Age,Player
12.6,88.0,17.1,6.9,120.0,48.0,40.0,9.3,5.1,65.0,36.0,55.4,7.9,1.7,55.0,12.0,21.8,4.0,1.3,28.0,9.0,32.1,1.9,13.0,2.6,18.0,1.6,11.0,0.3,2.0,4.4,31.0,16.7,117.0,0.7,4.6,5.0,32.0,5.3,37.0,7,29,Chuprov Alexey
3.8,45.0,2.5,1.2,30.0,14.0,46.7,2.2,1.0,26.0,12.0,46.2,0.3,0.2,4.0,2.0,50.0,0.5,0.4,6.0,5.0,83.3,1.3,15.0,1.7,20.0,1.1,13.0,0.4,5.0,0.8,10.0,2.9,35.0,0.9,2.3,11.0,27.0,3.2,38.0,12,24,Fedorov Filipp
3.6,57.0,7.4,2.2,118.0,35.0,29.7,3.7,1.1,59.0,18.0,30.5,3.7,1.1,59.0,17.0,28.8,1.2,0.6,19.0,10.0,52.6,1.7,27.0,3.1,49.0,1.3,20.0,0.0,0.0,1.8,29.0,6.1,97.0,0.7,3.3,11.0,52.0,3.9,63.0,16,25,Husmeni Alen
5.7,86.0,7.9,2.9,119.0,43.0,36.1,5.1,2.2,76.0,33.0,43.4,2.9,0.7,43.0,10.0,23.3,0.9,0.3,13.0,5.0,38.5,0.6,9.0,1.2,18.0,0.6,9.0,0.1,2.0,1.1,17.0,6.7,101.0,1.8,4.2,27.0,63.0,6.0,90.0,15,30,Kutsupii Dmitrii
1.5,21.0,2.6,0.7,36.0,10.0,27.8,2.4,0.7,33.0,10.0,30.3,0.2,0.0,3.0,0.0,0.0,0.5,0.1,7.0,2.0,28.6,0.6,8.0,0.8,11.0,0.2,3.0,0.0,0.0,0.5,7.0,1.6,22.0,1.5,2.9,21.0,41.0,4.4,62.0,14,45,Marnat Erlend
7.0,126.0,4.6,1.6,83.0,29.0,34.9,3.3,1.2,59.0,21.0,35.6,1.3,0.4,24.0,8.0,33.3,1.1,0.8,19.0,15.0,78.9,0.3,6.0,0.7,13.0,0.7,12.0,0.0,0.0,1.2,22.0,4.5,81.0,2.6,3.8,47.0,68.0,6.4,115.0,18,30,Novokshonov Andrei
0.0,0.0,5.9,1.2,77.0,15.0,19.5,2.2,0.7,29.0,9.0,31.0,3.7,0.5,48.0,6.0,12.5,0.2,0.1,3.0,1.0,33.3,0.9,12.0,1.1,14.0,0.2,2.0,0.0,0.0,0.4,5.0,2.8,37.0,1.1,1.8,14.0,23.0,2.8,37.0,13,30,Pikalov Maksim
-0.1,-1.0,0.9,0.4,6.0,3.0,50.0,0.9,0.4,6.0,3.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,6.0,0.6,1.4,4.0,10.0,2.0,14.0,7,37,Pisarev Oleg
7.5,128.0,6.3,3.0,107.0,51.0,47.7,6.2,3.0,106.0,51.0,48.1,0.1,0.0,1.0,0.0,0.0,1.7,0.9,29.0,15.0,51.7,0.5,8.0,1.8,31.0,0.6,11.0,0.5,8.0,1.2,20.0,6.9,117.0,2.4,3.5,41.0,59.0,5.9,100.0,17,35,Rudnikov Vyacheslav
9.5,105.0,4.4,1.8,48.0,20.0,41.7,4.4,1.8,48.0,20.0,41.7,0.0,0.0,0.0,0.0,0.0,1.9,0.8,21.0,9.0,42.9,1.0,11.0,1.7,19.0,0.7,8.0,0.5,5.0,1.7,19.0,4.5,49.0,3.3,4.4,36.0,48.0,7.6,84.0,11,35,Yanalov Roman
8.8,35.0,5.0,2.5,20.0,10.0,50.0,2.3,1.3,9.0,5.0,55.6,2.8,1.3,11.0,5.0,45.5,0.8,0.5,3.0,2.0,66.7,1.3,5.0,1.8,7.0,1.3,5.0,0.0,0.0,1.8,7.0,6.8,27.0,1.3,2.8,5.0,11.0,4.0,16.0,4,26,Zagorskii Yaroslav
4.6,64.0,12.5,3.3,175.0,46.0,26.3,4.6,1.4,65.0,19.0,29.2,7.9,1.9,110.0,27.0,24.5,1.1,0.6,16.0,8.0,50.0,2.0,28.0,1.7,24.0,1.4,20.0,0.1,1.0,1.6,22.0,9.1,127.0,1.4,2.2,19.0,31.0,3.6,50.0,14,19,Fursov Ivan
21.9,395.0,12.3,5.4,222.0,97.0,43.7,5.9,3.2,106.0,58.0,54.7,6.4,2.2,116.0,39.0,33.6,5.5,3.7,99.0,66.0,66.7,3.8,69.0,2.8,50.0,2.0,36.0,0.1,2.0,6.9,124.0,16.6,299.0,0.7,5.9,12.0,107.0,6.6,119.0,18,25,Fursov Mikhail
