Position,Team,Points,Wins,Losses,Scored,Allowed,Games,Points_Diff,Pts_Scored_Avg,Pts_Allowed_Avg,Abbr
1,KK Šljakeri,40,18,4,1319,1077,22,242,60.0,49.0,KKŠ
2,Pistacci,39,17,5,1391,1200,22,191,63.2,54.5,PST
3,Dva Telefona,38,16,6,1344,1158,22,186,61.1,52.6,DVA
4,Belgrade Bulls,38,16,6,1256,1045,22,211,57.1,47.5,BEL
5,Ravens Belgrade,37,15,7,1175,977,22,198,53.4,44.4,RVB
6,KK Tufe,37,15,7,1482,1318,22,164,67.4,59.9,TUF
7,Fireflies,33,11,11,1267,1231,22,36,57.6,56.0,FRS
8,KK Savski,32,10,12,1186,1152,22,34,53.9,52.4,SAV
9,Phantom Troupe,28,6,16,994,1231,22,-237,45.2,56.0,PHT
10,KK Bricklayers,27,5,17,1001,1336,22,-335,45.5,60.7,BRC
11,KK Tap 011,25,3,19,1032,1282,22,-250,46.9,58.3,KT0
