Team,Abbr,FGA_Avg,FGM_Avg,FGA_Tot,FGM_Tot,2PA_Avg,2PM_Avg,2PA_Tot,2PM_Tot,3PA_Avg,3PM_Avg,3PA_Tot,3PM_Tot,FTA_Avg,FTM_Avg,FTA_Tot,FTM_Tot,ORB_Avg,DRB_Avg,ORB_Tot,DRB_Tot,AST_Avg,AST_Tot,TO_Avg,TO_Tot,STL_Avg,STL_Tot,BLK_Avg,BLK_Tot,PFD_Avg,PFD_Tot
ravens belgrade,RVB,61.3,22.2,1165.0,421.0,36.3,15.5,689.0,295.0,25.1,6.6,476.0,126.0,13.8,7.7,263.0,147.0,13.4,30.3,254.0,575.0,11.2,213.0,14.6,277.0,7.9,150.0,1.3,25.0,16.5,314.0
belgrade bulls,BEL,60.2,23.8,1264.0,499.0,34.0,16.7,713.0,351.0,26.2,7.0,551.0,148.0,13.4,7.0,282.0,146.0,9.8,27.7,205.0,582.0,14.8,311.0,8.6,180.0,8.0,168.0,0.9,19.0,15.9,334.0
kk sljakeri,KKŠ,60.6,24.5,1273.0,515.0,34.2,18.3,718.0,385.0,26.4,6.2,555.0,130.0,15.9,8.5,333.0,178.0,11.0,24.7,230.0,519.0,13.5,284.0,12.1,255.0,9.8,206.0,2.8,59.0,17.6,369.0
kk savski,SAV,61.5,23.9,1292.0,501.0,37.6,18.4,789.0,386.0,24.0,5.5,503.0,115.0,17.0,9.4,358.0,198.0,9.7,27.1,204.0,570.0,13.0,274.0,10.2,215.0,6.9,144.0,1.4,30.0,16.7,350.0
pistacci,PST,66.3,28.1,1325.0,561.0,34.6,21.2,691.0,423.0,31.7,6.9,634.0,138.0,14.8,8.6,295.0,171.0,10.9,31.7,217.0,634.0,17.6,352.0,11.5,229.0,5.5,109.0,2.7,54.0,16.4,327.0
dva telefona,DVA,62.8,26.4,1256.0,528.0,39.5,20.4,790.0,407.0,23.3,6.1,466.0,121.0,15.1,9.2,301.0,183.0,9.4,31.5,187.0,630.0,18.1,362.0,11.9,237.0,7.7,154.0,2.1,41.0,16.6,331.0
fireflies,FRS,63.5,24.1,1398.0,531.0,38.1,17.6,838.0,387.0,25.5,6.5,560.0,144.0,13.4,6.8,295.0,149.0,10.5,28.5,230.0,628.0,13.8,303.0,12.6,277.0,6.8,150.0,1.7,38.0,16.1,355.0
kk tap 011,KT0,55.1,18.5,1157.0,388.0,34.6,13.8,727.0,289.0,20.5,4.7,430.0,99.0,15.4,7.9,323.0,166.0,6.7,24.1,141.0,507.0,9.0,188.0,12.2,257.0,6.4,135.0,1.0,22.0,15.3,322.0
kk tufe,TUF,64.8,27.6,1296.0,552.0,40.9,21.6,818.0,432.0,23.9,6.0,478.0,120.0,17.7,10.9,354.0,218.0,11.2,27.7,224.0,554.0,16.7,333.0,12.2,243.0,8.9,177.0,1.8,36.0,17.9,358.0
phantom troupe,PHT,57.2,18.9,1143.0,378.0,34.3,14.2,686.0,283.0,22.9,4.8,457.0,95.0,19.0,11.8,380.0,235.0,9.6,26.0,192.0,520.0,8.3,166.0,11.6,231.0,5.5,109.0,1.6,31.0,17.1,342.0
kk bricklayers,BRC,61.2,18.2,1346.0,401.0,34.2,12.3,753.0,271.0,27.0,5.9,593.0,130.0,10.5,5.1,230.0,113.0,8.6,24.3,190.0,534.0,10.3,226.0,10.5,232.0,6.7,147.0,1.5,32.0,12.2,269.0
